Rank,Name,Symbol,marketcap,price (USD),country,sector
1,SAP,SAP,320858980352,275.51,Germany,sw
2,ASML,ASML,299657723904,762.1,Netherlands,semiconductor
3,LVMH,MC.PA,297706446197,599206,France,clothing
4,Prosus,PRX.AS,267383014457,61.1935,Netherlands,investment
5,Hermès,RMS.PA,260161734176,2481.61,France,clothing
6,L'Oréal,OR.PA,250537229527,469.87,France,#N/D
7,Novo Nordisk,NVO,244676820992,55885,Denmark,biotech
8,Siemens,SIE.DE,216635474952,276597,Germany,#N/D
9,Deutsche Telekom,DTE.DE,179581326258,36646,Germany,telecommunication
10,Airbus,AIR.PA,165725681813,208595,Netherlands,manufacturing
11,Allianz SE,ALV.DE,162811212535,422282,Germany,insurance
12,Accenture,ACN,158930272256,255165,Ireland,services
13,Inditex,ITX.MC,157719907952,50.6365,Spain,clothing
14,Santander,SAN,143371862016,9.64,Spain,bank
15,EssilorLuxottica,EL.PA,141851191669,307602,France,#N/D
16,Spotify,SPOT,141174603776,686053,Sweden,entertainment
17,Safran,SAF.PA,141098624014,336097,France,#N/D
18,Schneider Electric,SU.PA,140560093048,249562,France,services
19,Eaton,ETN,138711482368,356.31,Ireland,#N/D
20,TotalEnergies,TTE,135906107392,62205,France,energy
21,Iberdrola,IBE.MC,126282497940,18.9011,Spain,electricity
22,Anheuser-Busch Inbev,BUD,121555886080,62745,Belgium,#N/D
23,Sanofi,SNY,121472409600,49805,France,biotech
24,Air Liquide,AI.PA,119468319029,207.17,France,#N/D
25,UniCredit,UCG.MI,119245624440,77.2626,Italy,bank
26,Medtronic,MDT,117924110336,91935,Ireland,#N/D
27,Intesa Sanpaolo,ISP.MI,113881457280,6.31671,Italy,bank
28,Banco Bilbao Vizcaya Argentaria,BBVA,105230393344,18.1645,Spain,bank
29,Dior,CDI.PA,102604412981,568726,France,clothing
30,BNP Paribas,BNP.PA,101044068011,89805,France,bank
31,AXA,CS.PA,99406127208,46.5958,France,insurance
32,Investor AB,INVE-B.ST,94834685612,30965,Sweden,investment
33,Enel,ENEL.MI,94616624593,9.30515,Italy,electricity
34,Trane Technologies,TT,94590017536,425095,Ireland,#N/D
35,Siemens Energy,ENR.F,88214427803,107719,Germany,electricity
36,Rheinmetall,RHM.F,85385121651,1913.46,Germany,#N/D
37,Ferrari,RACE,85109784576,477.56,Italy,manufacturing
38,Munich RE (Münchener Rück),MUV2.DE,82519203582,636693,Germany,insurance
39,Vinci,DG.PA,76434177729,136751,France,#N/D
40,Cement Roadstone Holding,CRH,76057804800,113235,Ireland,#N/D
41,Atlas Copco,ATCO-B.ST,75589717399,14.3374,Sweden,manufacturing
42,Johnson Controls,JCI,71354146816,109.04,Ireland,#N/D
43,ING,ING,71145111552,23935,Netherlands,bank
44,Deutsche Bank,DB,70734282752,35.28,Germany,bank
45,CaixaBank,CABK.MC,70022146329,9.94511,Spain,bank
46,BMW,BMW.DE,64132798590,105314,Germany,manufacturing
47,Volvo Group,VOLV-A.ST,62783077419,30.8173,Sweden,manufacturing
48,Siemens Healthineers,SHL.DE,62044025132,55.3194,Germany,healthcare
49,Mercedes-Benz,MBG.DE,60407806342,62735,Germany,manufacturing
50,NXP Semiconductors,NXPI,60402974720,239585,Netherlands,semiconductor
51,Generali,G.MI,60088215020,39.1452,Italy,insurance
52,Volkswagen,VOW3.DE,59841627496,117073,Germany,manufacturing
53,Crédit Agricole,ACA.PA,55745579645,18323,France,bank
54,Infineon,IFX.DE,55106090865,42.4092,Germany,semiconductor
55,Merck KGaA,MRK.DE,54607467558,125599,Germany,#N/D
56,Flutter Entertainment,FLUT,54372179968,309.36,Ireland,entertainment
57,Compagnie de Saint-Gobain,SGO.PA,54311826571,109307,France,manufacturing
58,Deutsche Börse,DB1.DE,54299145856,296275,Germany,financial
59,Thales,HO.PA,54203311032,263926,France,#N/D
60,Danone,BN.PA,53607116537,82.9616,France,food
61,ENI,E,53593763840,35.61,Italy,energy
62,DSV,DSV.VI,53187997628,225.33,Denmark,transportation
63,Adyen,ADYEN.AS,53081376303,1684.69,Netherlands,financial
